paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,vuelta11,
1,06:05,07:25,08:45,10:05,11:25,12:45,14:05,15:25,16:45,18:05,19:25,
21,06:10,07:30,08:50,10:10,11:30,12:50,14:10,15:30,16:50,18:10,19:30,
23,06:13,07:33,08:53,10:13,11:33,12:53,14:13,15:33,16:53,18:13,19:33,
25,06:15,07:35,08:55,10:15,11:35,12:55,14:15,15:35,16:55,18:15,19:35,
27,06:18,07:38,08:58,10:18,11:38,12:58,14:18,15:38,16:58,18:18,19:38,
30,06:21,07:41,09:01,10:21,11:41,13:01,14:21,15:41,17:01,18:21,19:41,
32,06:24,07:44,09:04,10:24,11:44,13:04,14:24,15:44,17:04,18:24,19:44,
31,06:28,07:48,09:08,10:28,11:48,13:08,14:28,15:48,17:08,18:28,19:48,
33,06:30,07:50,09:10,10:30,11:50,13:10,14:30,15:50,17:10,18:30,19:50,
29,06:32,07:52,09:12,10:32,11:52,13:12,14:32,15:52,17:12,18:32,19:52,
26,06:34,07:54,09:14,10:34,11:54,13:14,14:34,15:54,17:14,18:34,19:54,
8,06:35,07:55,09:15,10:35,11:55,13:15,14:35,15:55,17:15,18:35,19:55,
11,06:37,07:57,09:17,10:37,11:57,13:17,14:37,15:57,17:17,18:37,19:57,
24,06:39,07:59,09:19,10:39,11:59,13:19,14:39,15:59,17:19,18:39,19:59,
22,06:40,08:00,09:20,10:40,12:00,13:20,14:40,16:00,17:20,18:40,20:00,
20,06:43,08:03,09:23,10:43,12:03,13:23,14:43,16:03,17:23,18:43,20:03,
92,06:50,08:10,09:30,10:50,12:10,13:30,14:50,16:10,17:30,18:50,20:10,
97,06:55,08:15,09:35,10:55,12:15,13:35,14:55,16:15,17:35,18:55,,
98,06:56,08:16,09:36,10:56,12:16,13:36,14:56,16:16,17:36,18:56,,
99,06:58,08:18,09:38,10:58,12:18,13:38,14:58,16:18,17:38,18:58,,
100,07:01,08:21,09:41,11:01,12:21,13:41,15:01,16:21,17:41,19:01,,
101,07:03,08:23,09:43,11:03,12:23,13:43,15:03,16:23,17:43,19:03,,
102,07:05,08:25,09:45,11:05,12:25,13:45,15:05,16:25,17:45,19:05,,
103,07:07,08:27,09:47,11:07,12:27,13:47,15:07,16:27,17:47,19:07,,
104,07:10,08:30,09:50,11:10,12:30,13:50,15:10,16:30,17:50,19:10,,
105,07:12,08:32,09:52,11:12,12:32,13:52,15:12,16:32,17:52,19:12,,
106,07:14,08:34,09:54,11:14,12:34,13:54,15:14,16:34,17:54,19:14,,
107,07:15,08:35,09:55,11:15,12:35,13:55,15:15,16:35,17:55,19:15,,
