paradaId,vuelta1,vuelta2,vuelta3,vuelta4,vuelta5,vuelta6,vuelta7,vuelta8,vuelta9,vuelta10,
1,,07:18,08:53,10:28,12:03,13:38,15:13,16:48,18:23,19:58,
62,,07:21,08:56,10:31,12:06,13:41,15:16,16:51,18:26,,
13,,07:25,09:00,10:35,12:10,13:45,15:20,16:55,18:30,,
63,,07:26,09:01,10:36,12:11,13:46,15:21,16:56,18:31,,
64,,07:27,09:02,10:37,12:12,13:47,15:22,16:57,18:32,,
66,,07:29,09:04,10:39,12:14,13:49,15:24,16:59,18:34,,
67,,07:30,09:05,10:40,12:15,13:50,15:25,17:00,18:35,,
15,,07:32,09:07,10:42,12:17,13:52,15:27,17:02,18:37,,
17,,07:35,09:10,10:45,12:20,13:55,15:30,17:05,18:40,,
69,,07:36,09:11,10:46,12:21,13:56,15:31,17:06,18:41,,
9,,07:37,09:12,10:47,12:22,13:57,15:32,17:07,18:42,,
70,,07:39,09:14,10:49,12:24,13:59,15:34,17:09,18:44,,
4,,07:41,09:16,10:51,12:26,14:01,15:36,17:11,18:46,,
71,,07:42,09:17,10:52,12:27,14:02,15:37,17:12,18:47,,
72,,07:43,09:18,10:53,12:28,14:03,15:38,17:13,18:48,,
73,,07:44,09:19,10:54,12:29,14:04,15:39,17:14,18:49,,
5,06:15,07:47,09:22,10:57,12:32,14:07,15:42,17:17,18:52,,
74,06:16,07:48,09:23,10:58,12:33,14:08,15:43,17:18,18:53,,
75,06:18,07:50,09:25,11:00,12:35,14:10,15:45,17:20,18:55,,
18,06:20,07:52,09:27,11:02,12:37,14:12,15:47,17:22,18:57,,
76,06:21,07:53,09:28,11:03,12:38,14:13,15:48,17:23,18:58,,
78,06:22,07:54,09:29,11:04,12:39,14:14,15:49,17:24,18:59,,
80,06:24,07:56,09:31,11:06,12:41,14:16,15:51,17:26,19:01,,
82,06:26,07:58,09:33,11:08,12:43,14:18,15:53,17:28,19:03,,
92,06:32,08:04,09:39,11:14,12:49,14:24,15:59,17:34,19:09,,
21,06:38,08:10,09:45,11:20,12:55,14:30,16:05,17:40,19:15,,
83,06:40,08:12,09:47,11:22,12:57,14:32,16:07,17:42,19:17,,
84,06:44,08:16,09:51,11:26,13:01,14:36,16:11,17:46,19:21,,
85,06:46,08:18,09:53,11:28,13:03,14:38,16:13,17:48,19:23,,
86,06:48,08:20,09:55,11:30,13:05,14:40,16:15,17:50,19:25,,
87,06:51,08:23,09:58,11:33,13:08,14:43,16:18,17:53,19:28,,
88,06:54,08:26,10:01,11:36,13:11,14:46,16:21,17:56,19:31,,
89,06:57,08:31,10:06,11:41,13:16,14:51,16:26,18:01,19:36,,
90,07:00,08:34,10:09,11:44,13:19,14:54,16:29,18:04,19:39,,
91,07:03,08:41,10:16,11:51,13:26,15:01,16:36,18:11,19:46,,
